	Kingdom	Phylum	Class	Order	Family	Genus
ASV 7439 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 7440 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 7441 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7442 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 7443 _	Archaea	Nanoarchaeaeota	NA	NA	NA	NA
ASV 7444 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 7445 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 7446 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 7447 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7448 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 7449 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 7450 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 7451 _	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV 7452 _	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
ASV 7453 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7454 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
ASV 7455 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7456 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
