	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 153 _	0	503	9	0	5	84	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	41	0	190	130	90
ASV 154 _	436	22	11	8	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	4	3	367	35	29	10
ASV 155 _	64	22	0	455	171	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	237	0	0	0	0	0	0
ASV 156 _	0	0	0	0	0	0	0	44	30	69	111	293	0	66	0	161	0	263	117	40	0	67	0	0	0	0	0	0	0	0
ASV 157 _	3	79	264	20	0	128	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	113	107	12	28	30	77
ASV 158 _	0	205	63	0	0	93	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	59	74	141	0	111	168	124
ASV 159 _	0	0	0	0	0	0	0	174	213	9	11	0	193	226	29	0	56	215	0	0	123	0	0	0	0	0	0	0	0	0
ASV 160 _	115	37	8	99	472	50	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	47	26	11	55	25	4	21
ASV 161 _	211	48	4	148	262	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	36	0	32	249	50	0	25
ASV 162 _	21	211	139	22	29	30	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	36	39	255	20	138	100	98
ASV 163 _	0	0	0	0	0	0	0	34	99	14	70	0	73	74	276	0	412	68	44	17	51	0	0	0	0	0	0	0	0	0
